"Date","Adjusted_TSLA","Adjusted_SP500"
2018-05-29,18.9173336029053,2689.86010742188
2018-05-30,19.4479999542236,2724.01000976562
2018-05-31,18.9820003509521,2705.27001953125
2018-06-01,19.4546661376953,2734.6201171875
2018-06-04,19.7826671600342,2746.8701171875
2018-06-05,19.4086666107178,2748.80004882812
2018-06-06,21.2999992370605,2772.35009765625
2018-06-07,21.0726661682129,2770.3701171875
2018-06-08,21.1773338317871,2779.03002929688
2018-06-11,22.1399993896484,2782
2018-06-12,22.8513336181641,2786.85009765625
2018-06-13,22.9853324890137,2775.6298828125
2018-06-14,23.8479995727539,2782.48999023438
2018-06-15,23.8780002593994,2779.65991210938
2018-06-18,24.7220001220703,2773.75
2018-06-19,23.5033321380615,2762.59008789062
2018-06-20,24.1480007171631,2767.32006835938
2018-06-21,23.1673336029053,2749.76000976562
2018-06-22,22.242000579834,2754.8798828125
2018-06-25,22.2006664276123,2717.07006835938
2018-06-26,22.7999992370605,2723.06005859375
2018-06-27,22.966667175293,2699.6298828125
2018-06-28,23.3286666870117,2716.31005859375
2018-06-29,22.8633327484131,2718.3701171875
2018-07-02,22.3379993438721,2726.7099609375
2018-07-03,20.7240009307861,2713.21997070312
2018-07-05,20.6106662750244,2736.61010742188
2018-07-06,20.5933322906494,2759.82006835938
2018-07-09,21.2339992523193,2784.169921875
2018-07-10,21.4979991912842,2793.84008789062
2018-07-11,21.2639999389648,2774.02001953125
2018-07-12,21.1140003204346,2798.2900390625
2018-07-13,21.257999420166,2801.31005859375
2018-07-16,20.6733322143555,2798.42993164062
2018-07-17,21.5126667022705,2809.55004882812
2018-07-18,21.5900001525879,2815.6201171875
2018-07-19,21.3486671447754,2804.48999023438
2018-07-20,20.9053325653076,2801.830078125
2018-07-23,20.2133331298828,2806.97998046875
2018-07-24,19.8286666870117,2820.39990234375
2018-07-25,20.5826663970947,2846.07006835938
2018-07-26,20.4433326721191,2837.43994140625
2018-07-27,19.8120002746582,2818.82006835938
2018-07-30,19.3446674346924,2802.60009765625
2018-07-31,19.8759994506836,2816.2900390625
2018-08-01,20.0559997558594,2813.36010742188
